Type of Food,Water Content (g),Vitamin A Quantity (mcg),Vitamin B Quantity (mg),Vitamin C Quantity (mg),Vitamin D Quantity (mcg),Alcohol Content (g),Iron Content (mg),Fat Content (g),Missing or Very Low Nutrient
1,34.11377924,897.3490418,1.789735275,24.96633556,0.067596558,2.33282825,2.98175448,1.050918851,Vitamin B6
2,82.14878816,383.900145,2.033537319,11.62581217,0.70632891,1.005230911,0.334597888,2.838811157,Fiber
3,31.48735328,742.5700388,1.406308226,3.701479451,0.538331164,2.928861375,0.233155958,4.723363892,Vitamin B6
4,37.15435952,53.46693702,1.033504318,3.711652083,0.131342891,0.71521601,1.337589,2.169538302,Fiber
5,31.14718258,462.1524226,1.904942759,18.99120831,0.187968132,1.361635939,3.643833223,2.471015881,Vitamin B6
6,21.42057823,779.2681703,0.965528757,12.24031672,0.733513138,0.277204795,0.378411813,0.337814049,Protein
7,17.58176959,505.9321686,0.703001317,19.91381877,0.042762694,0.538297658,2.407187753,3.790437484,Vitamin B6
8,32.01325812,310.3021516,1.503221271,24.90768845,0.534835252,1.895146194,3.989540362,4.974797195,Fiber
9,90.86361401,878.6579754,0.067395956,29.58615368,0.185974434,0.942452719,2.99660752,1.339049581,Vitamin B6
10,35.58604275,140.7109803,0.324729744,22.42620107,0.243971321,0.319614436,1.121664865,0.174926313,Iron
11,54.14790331,173.2781356,0.027543309,7.625543978,0.618462287,2.588550992,3.497261801,3.821463761,Vitamin B6
12,66.66945027,550.4524556,2.196362858,19.34541782,0.651674644,2.677709586,1.528573377,0.020463739,Fats
13,45.03454607,159.0363535,2.169607761,11.69810957,0.930082308,1.223148688,1.828732029,1.884264755,Vitamin B6
14,14.12404812,28.00750857,2.266250544,18.79300019,0.520301822,1.190399135,2.882542742,0.418467007,Vitamin D
15,82.95754922,387.3220848,1.360633153,4.141393358,0.600523725,0.752288988,3.939966532,3.315505776,Fats
16,56.36438981,258.8199275,0.873250067,0.423119703,0.518413682,2.046899587,1.260443305,2.968930568,Vitamin D
17,59.17878236,136.302328,1.23724415,0.272603518,0.688677487,1.690711897,2.363291884,1.848867956,Fiber
18,81.05300871,385.1354674,0.828248932,11.88370455,0.044849417,1.437065132,1.083772743,2.794505278,Vitamin B6
19,70.59663076,392.6858041,2.055789402,7.639629875,0.371125243,0.436812129,4.865024716,2.138660708,Vitamin D
20,69.75107707,93.27390974,0.017399653,14.21442471,0.196843638,1.250685919,4.971323195,1.821591357,Fiber
21,76.33977069,270.187313,2.084760978,10.21919413,0.395396579,2.334293817,3.872632433,2.556763869,Fiber
22,65.75949666,200.8378968,1.448391148,13.28938116,0.00933784,2.739953846,1.134120652,0.62955045,Fiber
23,30.01368211,445.3535312,0.345112891,1.271842837,0.315010321,1.989822155,0.15023017,1.69362431,Vitamin B6
24,28.99901248,665.6011474,1.395640811,0.033362784,0.029656421,0.229251583,1.008310218,1.272519519,Vitamin B6
25,84.84058851,721.0979469,1.168635167,28.66948991,0.270286553,2.029925328,1.361369486,4.814346476,Vitamin D
26,12.92237857,762.1655522,0.757704128,22.41022783,0.642858232,0.167790219,0.290875201,2.068876711,Fiber
27,23.75983442,625.3962533,0.00456806,23.22240866,0.457351177,2.728166421,2.239089006,2.664246181,Vitamin D
28,95.24746302,145.2644603,0.234663004,17.75872175,0.282087711,0.840853067,4.992267144,0.449662238,Vitamin B6
29,12.23635716,2.23386668,2.087145586,25.16239411,0.44167284,2.227430799,0.223778464,1.890236589,Protein
30,70.8959299,459.7173201,1.229614293,15.48828118,0.527720058,2.125671046,4.315198305,2.084941347,Vitamin D
31,38.46246635,847.0691555,0.696095437,15.74124516,0.403425879,2.586138742,2.171663397,4.504125632,Vitamin D
32,4.421479594,259.888435,1.165062773,15.09475134,0.503098081,0.257298992,1.33120472,3.971194681,Vitamin D
33,31.65848287,456.2856419,1.542904412,12.91376212,0.61055652,1.189298102,4.521685759,2.64576627,Vitamin B6
34,10.37322672,754.8447038,0.38980851,26.42725956,0.902935799,2.568926995,2.046379959,0.228630955,Fiber
35,44.71918355,549.0129538,1.184588039,28.36329964,0.947278192,2.823299328,1.602919109,2.991427615,Vitamin B6
36,4.810794294,416.6865139,0.281933782,24.28460212,0.18525031,0.011232528,0.93473739,3.407031651,Fiber
37,56.84359882,190.8796494,0.413088352,0.652157915,0.218885741,1.493351771,2.619327596,2.804066041,Fiber
38,6.171358696,842.2990999,0.018768552,0.773912517,0.000227042,1.965912863,0.804737551,2.714036969,Vitamin D
39,91.89317989,541.978732,1.538866604,29.40004807,0.641209821,1.593201715,1.297526737,2.35768371,Fiber
40,78.15215991,741.0042459,2.152037541,28.10268252,0.187241175,2.469256439,3.749582936,3.950373645,Protein
41,89.01587315,120.0084206,1.172052261,14.79270924,0.846592241,1.03019063,2.263209449,2.011996994,Fiber
42,80.38290861,598.9639615,0.395636778,23.67011902,0.336933536,0.815063439,2.491074948,3.474460946,Vitamin B6
43,37.39003686,889.733269,0.15259589,2.187556466,0.614423703,1.239486192,2.865979976,4.79293452,Vitamin D
44,67.95202073,56.98209001,0.051710913,29.41627405,0.535400676,1.516471339,1.516176487,3.411402084,Iron
45,80.16088698,160.5785288,0.655852781,20.6405876,0.324608336,1.834830141,1.60725971,4.73184205,Fats
46,93.55083465,243.7612725,2.264733178,24.43363417,0.969896864,2.564146532,0.161334655,3.161131264,Vitamin B6
47,10.45510466,593.077019,1.035415903,4.776699542,0.092942033,1.238057793,1.542955319,3.377839227,Vitamin D
48,11.06414669,173.4140208,1.497245416,20.38498337,0.114622069,0.507164125,4.621096493,1.15912783,Vitamin B6
49,38.43832559,696.3284233,0.909615103,12.09969264,0.696355109,1.95966984,0.548030256,1.7936531,Vitamin D
50,59.17482645,708.518965,1.691196871,21.49291785,0.479910342,2.489481908,1.240082297,3.432957013,Fiber
